issuerid,l_syns
208,"['NAUK', 'Публичное акционерное общество Научно-производственное объединение ""Наука""']"
209,"['RNFT', 'Публичное акционерное общество Нефтегазовая компания ""РуссНефть""']"
210,"['Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора)', 'OMZZ']"
211,"['ROSB', 'Публичное акционерное общество РОСБАНК']"
212,"['RGSS', 'Публичное акционерное общество Страховая Компания ""Росгосстрах""']"
213,"['Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""', 'KCHE']"
214,"['MAGE', 'Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""']"
215,"['MSNG', 'московская\xa0энергетическая компания', 'Публичное акционерное общество энергетики и электрификации ""Мосэнерго""', 'мосэнерго']"
216,"['самарэнерго', 'SAGO', 'Публичное акционерное общество энергетики и электрификации ""Самараэнерго""']"
217,"['сахалинэнерго', 'SLEN', 'Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""']"
218,"['Эталон Груп', 'ETALON GROUP PLC (ЭТАЛОН ГРУП ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'Группа Эталон', 'ETLN LI']"
219,"['Fix Price', 'FIXP RX', 'FixPrice', 'Fix Price Group Ltd (Фикс Прайс Груп Лтд) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'FIXP']"
220,"['Globaltrans Investment PLC (Глобалтранс Инвестмент ПЛС) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй))', 'Глобалтранс', 'Globaltrans', 'GLTR LI']"
221,"['Headhunter', 'HeadHunter Group PLC (ХэдХантер Групп ПИЭЛСИ) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))', 'HHRU RX', 'HHRU']"
222,"['HMSG', 'HMS HYDRAULIC MACHINES & SYSTEMS GROUP PLC (ГМС ГИДРАВЛИК МАШИНС ЭНД СИСТЕМС ГРУП ПЛС) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))']"
223,"['MAIL LI', 'ВК', 'Вконтакте', 'Mail.ru Group Limited (Мэйл.ру Груп Лимитед) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй))', 'VKCO', 'VK Group']"
224,"['MD Medical', 'MD MEDICAL GROUP INVESTMENTS PLC (МД МЕДИКАЛ ГРУП ИНВЕСТМЕНТС ПЛС) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))', 'MDMG RX', 'MDMG']"
225,"['TCSG', 'TCS Group', 'TCS Group Holding PLC (ТиСиЭс Груп Холдинг ПиЭлСи) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))', 'Tinkoff', 'TCS LI', 'Тинькофф']"
226,"[""АО О'КЕЙ ГРУПП (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))"", 'OKEY RX', 'OKEY']"
227,"['FIVE LI', 'X5 Group', 'Х5 групп', 'Икс 5 Ритейл Груп Н.В. (X5 Retail Group N.V.) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))']"
228,"['QIWI RX', 'КИВИ ПиЭлСи (QIWI PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'АО Киви', 'QIWI']"
229,"['LENT', 'LNTA RX', 'Международная компания публичное акционерное общество ""Лента"" (эмитент депозитарных расписок - Deutsche Bank Trust Company Americas (Дойче Банк Траст Кампани Америкас))', 'LNTA', 'LNTA']"
230,"['OZON RX', 'Озон Холдингс ПиЭлСи (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'OZON']"
231,"['AGRO RX', 'Rusagro', 'РОС АГРО ПЛС (ROS AGRO PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'Русагро', 'AGRO']"
232,"['RTSD', 'Nord Gold PLC (Норд Голд ПЛК)']"
233,"['Nordgold', 'NORD', 'UNITED MEDICAL GROUP CY PLC (ЮНАЙТЕД МЕДИКАЛ ГРУП КИ ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн))']"
234,"['POGR', 'Petropavlovsk PLC (Петропавловск ПЛК)', 'Petropavl', '""Петропавловск""']"
235,"['полиметалл', 'Полиметалл Интернэшнл плс (Polymetal International plc)', 'POLY RX', 'polymetal', 'POLY']"
236,"['Публичная Компания с ограниченной ответственностью Яндекс Н.В. (Public Limited Liability Company Yandex N.V.)', 'Яндекс', 'YNDX RX', 'Yandex', 'YNDX']"
237,"['Softline Holding Limited (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн))', 'софтлайн', 'SFTL', 'Noventiq', 'softline']"
240,"['ВЕОН', 'VEON', 'VEON Ltd.']"
241,"['POSI', 'гр. Позитив', 'Positive tech', 'Positive Group', 'группа позитив', 'Публичное акционерное общество ""Группа Позитив""']"
251,"['CIAN', 'циан', 'Cian PLC (эмитент депозитарных расписок - The Bank of New York Mellon)', 'cian']"
254,"['Публичное акционерное общество ""ВУШ Холдинг""', 'WUSH', 'Вуш', 'Whoosh']"
255,"['SPBE', 'СПБ Биржа', 'Публичное акционерное общество ""СПБ Биржа""']"
257,"['Global Ports', 'Глобалпортс', 'Globalports', 'GLPR']"
258,"['Astra Linux', 'Группа Астра', 'Гк Астра', 'Astra', 'ASTR', 'Астра']"
261,"['Русская аквакультура', 'AQUA', 'Аквакультура', 'INARCTICA', 'Инарктика', 'Русское море']"
265,"['ЮЖУРАЛЗОЛОТО', 'UGLD', 'ЮГК']"
266,"['iАРТГЕН', 'Artgen biotech', 'ABIO', 'Артген', 'Артген Биотех']"
267,"['Публичное акционерное общество ""Группа Ренессанс Страхование""', 'Ренессанс Страхование', 'RENI']"
268,"['GECO', 'Genetico', 'Генетико', 'iГенетико']"
269,"['Смарттехгрупп', 'CarMoney', 'CARM', 'ПАО ""СТГ""']"
270,"['Хендерсон', 'HNFG', 'Henderson']"
271,"['Sovcombank', 'Совкомбанк', 'SVCB']"
272,"['Евротранс', 'АЗС ""Трасса""', 'АЗС «Трасса»', 'EUTR', 'АЗС Трасса']"
273,"['""Каршеринг Руссия"", ПАО', 'DELI', 'delimobil', 'ПАО ""Каршеринг Руссия""', 'Делимобил', 'Каршеринг Рус']"
274,"['Diasoft', 'DIAS', 'Диасофт']"
