issuerid;l_syns
217;"['SLEN', 'Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""', 'сахалинэнерго']"
218;['ETALON GROUP PLC (ЭТАЛОН ГРУП ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'ETLN LI', 'Эталон Груп', 'Группа Эталон']
219;['Fix Price', 'FIXP RX', 'FixPrice', 'Fix Price Group Ltd (Фикс Прайс Груп Лтд) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))']
220;['Globaltrans', 'GLTR LI', 'Глобалтранс', 'Globaltrans Investment PLC (Глобалтранс Инвестмент ПЛС) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй))']
221;['HHRU RX', 'HeadHunter Group PLC (ХэдХантер Групп ПИЭЛСИ) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))', 'Headhunter']
222;['HMSG', 'HMS HYDRAULIC MACHINES & SYSTEMS GROUP PLC (ГМС ГИДРАВЛИК МАШИНС ЭНД СИСТЕМС ГРУП ПЛС) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))']
223;['ВК', 'Mail.ru Group Limited (Мэйл.ру Груп Лимитед) (эмитент депозитарных расписок - Citibank N.A. (Ситибэнк Эн.Эй))', 'MAIL LI', 'VK Group', 'VKCO', 'Вконтакте']
224;['MDMG RX', 'MD Medical', 'MD MEDICAL GROUP INVESTMENTS PLC (МД МЕДИКАЛ ГРУП ИНВЕСТМЕНТС ПЛС) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))']
225;['TCSG', 'TCS Group', 'Tinkoff', 'TCS LI', 'Тинькофф', 'TCS Group Holding PLC (ТиСиЭс Груп Холдинг ПиЭлСи) (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A. (ДжиПиМорган Чейз Банк, Эн.Эй))']
226;"['OKEY RX', ""АО О'КЕЙ ГРУПП (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))""]"
227;['Икс 5 Ритейл Груп Н.В. (X5 Retail Group N.V.) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'X5 Group', 'Х5 групп', 'FIVE LI']
228;['АО Киви', 'КИВИ ПиЭлСи (QIWI PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'QIWI RX']
229;"['LNTA RX', 'Международная компания публичное акционерное общество ""Лента"" (эмитент депозитарных расписок - Deutsche Bank Trust Company Americas (Дойче Банк Траст Кампани Америкас))', 'LENT', 'LNTA']"
230;['Озон Холдингс ПиЭлСи (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))', 'OZON RX']
231;['Rusagro', 'AGRO RX', 'Русагро', 'РОС АГРО ПЛС (ROS AGRO PLC) (эмитент депозитарных расписок - The Bank of New York Mellon (Бэнк оф Нью Йорк Меллон))']
232;['RTSD', 'Nord Gold PLC (Норд Голд ПЛК)']
233;['Nordgold', 'UNITED MEDICAL GROUP CY PLC (ЮНАЙТЕД МЕДИКАЛ ГРУП КИ ПИЭЛСИ) (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн))', 'NORD']
234;"['""Петропавловск""', 'Petropavl', 'Petropavlovsk PLC (Петропавловск ПЛК)', 'POGR']"
235;['полиметалл', 'POLY RX', 'Полиметалл Интернэшнл плс (Polymetal International plc)', 'polymetal']
236;['Публичная Компания с ограниченной ответственностью Яндекс Н.В. (Public Limited Liability Company Yandex N.V.)', 'Яндекс', 'Yandex', 'YNDX RX']
237;['SFTL', 'Softline Holding Limited (эмитент депозитарных расписок - The Bank of New York Mellon Corporation (Зе Бэнк оф Нью Йорк Меллон Корпорэйшн))', 'Noventiq', 'softline', 'софтлайн']
240;['VEON Ltd.', 'ВЕОН', 'VEON']
241;"['гр. Позитив', 'POSI', 'Публичное акционерное общество ""Группа Позитив""', 'группа позитив', 'Positive Group', 'Positive tech']"
251;['Cian PLC (эмитент депозитарных расписок - The Bank of New York Mellon)', 'циан', 'CIAN', 'cian']
254;"['Вуш', 'Whoosh', 'WUSH', 'Публичное акционерное общество ""ВУШ Холдинг""']"
255;"['SPBE', 'СПБ Биржа', 'Публичное акционерное общество ""СПБ Биржа""']"
257;['GLPR', 'Globalports', 'Global Ports', 'Глобалпортс']
258;['Гк Астра', 'Астра', 'Astra', 'Astra Linux', 'ASTR', 'Группа Астра']
261;['AQUA', 'INARCTICA', 'Аквакультура', 'Инарктика', 'Русская аквакультура', 'Русское море']
265;['ЮГК', 'UGLD', 'ЮЖУРАЛЗОЛОТО']
266;['Артген Биотех', 'Artgen biotech', 'ABIO', 'iАРТГЕН', 'Артген']
267;"['Публичное акционерное общество ""Группа Ренессанс Страхование""', 'Ренессанс Страхование', 'RENI']"
268;['iГенетико', 'GECO', 'Генетико', 'Genetico']
269;"['Смарттехгрупп', 'ПАО ""СТГ""', 'CarMoney', 'CARM']"
270;['Henderson', 'HNFG', 'Хендерсон']
271;['Совкомбанк', 'Sovcombank', 'SVCB']
272;"['АЗС Трасса', 'АЗС «Трасса»', 'АЗС ""Трасса""', 'EUTR', 'Евротранс']"
273;"['""Каршеринг Руссия"", ПАО', 'Делимобил', 'delimobil', 'DELI', 'ПАО ""Каршеринг Руссия""', 'Каршеринг Рус']"
274;['Diasoft', 'DIAS', 'Диасофт']
